IDENTIFIER,CONCEPT_CODE,DEFINITION,PARENT_IDENTIFIER,VALUE,PUBLIC_ID,SORTORDER
427700000,442021009,,null,Enlargement,Morphological_Abnormalitiy_PID,0
427700001,31593006,,null,Minimal lesion,Morphological_Abnormalitiy_PID,0
427700002,47260009,,null,Honeycomb appearance,Morphological_Abnormalitiy_PID,0
427700003,90522003,,null,Widening,Morphological_Abnormalitiy_PID,0
427700004,27881006,,null,Bony callus,Morphological_Abnormalitiy_PID,0
427700005,79644001,,null,Pigment alteration,Morphological_Abnormalitiy_PID,0
427700006,400183000,,null,Exfoliative lesion,Morphological_Abnormalitiy_PID,0
427700007,363564008,,null,Vegetation,Morphological_Abnormalitiy_PID,0
427700008,399984000,,null,Abnormal shape,Morphological_Abnormalitiy_PID,0
427700009,5960008,,null,Depressed structure,Morphological_Abnormalitiy_PID,0
427700010,413884004,,null,Collagen shrinkage,Morphological_Abnormalitiy_PID,0
427700011,128176002,,null,Cutaneous patch,Morphological_Abnormalitiy_PID,0
427700012,418560003,,null,Absence,Morphological_Abnormalitiy_PID,0
427700013,25694009,,null,Papule,Morphological_Abnormalitiy_PID,0
427700014,107673000,,null,Cellular AND/OR subcellular abnormality,Morphological_Abnormalitiy_PID,0
427700015,107682006,,null,Fibrosis AND/OR repair abnormality,Morphological_Abnormalitiy_PID,0
427700016,49293007,,null,Pseudotumor,Morphological_Abnormalitiy_PID,0
427700017,110406006,,null,Effect of surgery,Morphological_Abnormalitiy_PID,0
427700018,399591009,,null,Therapy-related morphologic change,Morphological_Abnormalitiy_PID,0
427700019,39266006,,null,Abnormal cell,Morphological_Abnormalitiy_PID,0
427700020,107669003,,null,Degenerative abnormality,Morphological_Abnormalitiy_PID,0
427700021,84931001,,null,Tumor-like lesion,Morphological_Abnormalitiy_PID,0
427700022,89615005,,null,Abnormal cellular component of blood,Morphological_Abnormalitiy_PID,0
427700023,409774005,,null,Inflammatory morphology,Morphological_Abnormalitiy_PID,0
427700024,414402003,,null,Hernial opening,Morphological_Abnormalitiy_PID,0
427700025,399016005,,null,Pseudomembrane,Morphological_Abnormalitiy_PID,0
427700026,128177006,,null,Cutaneous plaque,Morphological_Abnormalitiy_PID,0
427700027,21390004,,null,Developmental abnormality,Morphological_Abnormalitiy_PID,0
427700028,4147007,,null,Mass,Morphological_Abnormalitiy_PID,0
427700029,25659002,,null,Narrowing,Morphological_Abnormalitiy_PID,0
427700030,397017008,,null,Mast cell abnormality,Morphological_Abnormalitiy_PID,0
427700031,37782003,,null,Damage,Morphological_Abnormalitiy_PID,0
427700032,125479003,,null,Extracellular alteration,Morphological_Abnormalitiy_PID,0
427700033,35714009,,null,Postmortem change,Morphological_Abnormalitiy_PID,0
427700034,31883006,,null,Fusion,Morphological_Abnormalitiy_PID,0
427700035,129258009,,null,Redundant tissue,Morphological_Abnormalitiy_PID,0
427700036,128490007,,null,Heterotopia,Morphological_Abnormalitiy_PID,0
427700037,57697001,,null,Growth alteration,Morphological_Abnormalitiy_PID,0
427700038,107658001,,null,Mechanical abnormality,Morphological_Abnormalitiy_PID,0
427700039,1806006,,null,Eruption,Morphological_Abnormalitiy_PID,0
427700040,112629002,,null,Macule,Morphological_Abnormalitiy_PID,0
427700041,442672001,,427700000,Swelling,Morphological_Abnormalitiy_PID,0
427700042,441880008,,427700000,Congenital enlargement,Morphological_Abnormalitiy_PID,0
427700043,56246009,,427700000,Hypertrophy,Morphological_Abnormalitiy_PID,0
427700044,89031001,,427700005,Hypopigmentation,Morphological_Abnormalitiy_PID,0
427700045,51083003,,427700005,Pigment deposition,Morphological_Abnormalitiy_PID,0
427700046,18655006,,427700005,Depigmentation,Morphological_Abnormalitiy_PID,0
427700047,38843008,,427700005,Abnormal melanin pigmentation,Morphological_Abnormalitiy_PID,0
427700048,125118008,,427700006,Exfoliative erythema,Morphological_Abnormalitiy_PID,0
427700049,27367001,,427700008,Wrinkle,Morphological_Abnormalitiy_PID,0
427700050,26310004,,427700008,Fold,Morphological_Abnormalitiy_PID,0
427700051,43948000,,427700008,Congenital abnormal shape,Morphological_Abnormalitiy_PID,0
427700052,6081001,,427700008,Deformity,Morphological_Abnormalitiy_PID,0
427700053,82448003,,427700008,Indentation,Morphological_Abnormalitiy_PID,0
427700054,12535006,,427700012,Acquired absence,Morphological_Abnormalitiy_PID,0
427700055,24216005,,427700012,Congenital absence,Morphological_Abnormalitiy_PID,0
427700056,328005,,427700013,Follicular papule,Morphological_Abnormalitiy_PID,0
427700057,2412005,,427700013,Maculopapule,Morphological_Abnormalitiy_PID,0
427700058,125472007,,427700014,Intracytoplasmic microvilli,Morphological_Abnormalitiy_PID,0
427700059,107679001,,427700014,Cellular hormonal pattern,Morphological_Abnormalitiy_PID,0
427700060,52214007,,427700014,Satellitosis,Morphological_Abnormalitiy_PID,0
427700061,80217004,,427700014,May-Hegglin inclusion,Morphological_Abnormalitiy_PID,0
427700062,61043009,,427700014,Margination,Morphological_Abnormalitiy_PID,0
427700063,125554003,,427700014,Hyperparakeratosis,Morphological_Abnormalitiy_PID,0
427700064,125408005,,427700014,Cytologic engulfment,Morphological_Abnormalitiy_PID,0
427700065,125474008,,427700014,Flagella alteration,Morphological_Abnormalitiy_PID,0
427700066,125412004,,427700014,Nuclear size alteration,Morphological_Abnormalitiy_PID,0
427700067,16483008,,427700014,Russell body,Morphological_Abnormalitiy_PID,0
427700068,38698001,,427700014,Flexner-Wintersteiner rosette,Morphological_Abnormalitiy_PID,0
427700069,111014003,,427700014,Dual red blood cell population,Morphological_Abnormalitiy_PID,0
427700070,28569002,,427700014,Muscle fiber change,Morphological_Abnormalitiy_PID,0
427700071,107680003,,427700014,Cellular stain reaction,Morphological_Abnormalitiy_PID,0
427700072,30419000,,427700014,Leukostasis,Morphological_Abnormalitiy_PID,0
427700073,12170000,,427700014,Rosette,Morphological_Abnormalitiy_PID,0
427700074,125422005,,427700014,Myelin body formation,Morphological_Abnormalitiy_PID,0
427700075,125416001,,427700014,Cytoplasmic droplets,Morphological_Abnormalitiy_PID,0
427700076,125407000,,427700014,Clasmatodendrosis,Morphological_Abnormalitiy_PID,0
427700077,125389000,,427700014,Axonal swelling,Morphological_Abnormalitiy_PID,0
427700078,40633007,,427700014,Homer Wright rosette,Morphological_Abnormalitiy_PID,0
427700079,8855009,,427700014,Mosaicism,Morphological_Abnormalitiy_PID,0
427700080,125513006,,427700014,Reactive cellular changes,Morphological_Abnormalitiy_PID,0
427700081,125494004,,427700014,Collagen fibril alteration,Morphological_Abnormalitiy_PID,0
427700082,78592004,,427700014,Charcot-Leyden crystals,Morphological_Abnormalitiy_PID,0
427700083,399386007,,427700014,Fleurette,Morphological_Abnormalitiy_PID,0
427700084,59273009,,427700014,Leukocytic margination,Morphological_Abnormalitiy_PID,0
427700085,125493005,,427700014,Reticulin fibril alteration,Morphological_Abnormalitiy_PID,0
427700086,39935009,,427700014,Rouleaux formation,Morphological_Abnormalitiy_PID,0
427700087,125414003,,427700014,Cytoplasmic aggregate,Morphological_Abnormalitiy_PID,0
427700088,125415002,,427700014,Cytoplasmic accumulation,Morphological_Abnormalitiy_PID,0
